expression	rel	p-value (log[10])
תקציב ביטחון	attr	3.6350119564333
רמה חיים	attr	3.63210845329533
יום חופשה	attr	3.62974446908277
שר בינוי	attr	3.61232461016586
כסף קרן	attr	3.60878878648688
שחקן נבחרת	attr	3.60806894286597
יחידה מטה	attr	3.60529902749941
ניצחון ליגה	attr	3.60254765534869
מרכז ועידה	attr	3.59331981450713
משחק גומלין	attr	3.59331981450713
גביע איגוד	attr	3.59284699172461
"תחנה מד""א"	attr	3.59222306473461
אספקה גז	attr	3.57556078162922
קריאה ספר	attr	3.57131969740602
חוסר תיאום	attr	3.57131969740432
הצעה אוצר	attr	3.56382912191665
סגן ראש	attr	3.55964070214844
בעיה מזרח	attr	3.55730730891634
הפסקה חשמל	attr	3.55529325474417
ראש כנופיה	attr	3.52821236176118
מזכיר הגנה	attr	3.5257455419676
גל עלייה	attr	3.52375835045812
ועדה מומחה	attr	3.49247175099069
ארגון פשע	attr	3.49098025862951
יד נציג	attr	3.48650122237626
"יד עו""ד"	attr	3.48650122237626
שינוי מחיר	attr	3.48478864710564
צורך ביצוע	attr	3.48452371145439
תשלום קנס	attr	3.47082184514572
מנהל דלק	attr	3.46597281805828
סוג עץ	attr	3.46406688576277
צוות חקירה	attr	3.46406688576277
סוכן גז	attr	3.45159973898811
החלטה סוכנות	attr	3.45159973898528
תושב עיר	attr	3.42763034224977
נעל ספורט	attr	3.42541638737153
שעה מסחר	attr	3.42541638737153
מועצה מרכז	attr	3.41624611131613
משרד איכות	attr	3.4075558618328
סכום הוצאה	attr	3.40654417296028
ראש טבלה	attr	3.40622992217361
ראש מחלקה	attr	3.40622992217361
פה דרישה	attr	3.40148423616898
פה פקיד	attr	3.40148423616898
כדור ארץ	attr	3.39808017187359
תשלום חוב	attr	3.39230525020743
צורך גבייה	attr	3.38843477517102
פרשה דרך	attr	3.36829370774795
קופה מדינה	attr	3.35569995728926
קבוצה עולה	attr	3.35095919175598
כלל משחק	attr	3.35095919175241
בית בד	attr	3.35020180160416
בית מלוכה	attr	3.35020180160416
בית עלמין	attr	3.35020180160416
בית שימוש	attr	3.35020180160416
העברה כסף	attr	3.34791725214017
הוראה חוק	attr	3.32328949769465
טענה הגנה	attr	3.30197240734496
בעל תואר	attr	3.29679223084389
גורם ביטחון	attr	3.28866723656655
רחוב קרן	attr	3.28061087757205
תחום הסברה	attr	3.27606640687235
עידוד תעשייה	attr	3.27568218091695
פיתוח תעשייה	attr	3.27568218091695
מכללה בית	attr	3.2703183291774
תוצאה משחק	attr	3.26466903416656
מבנה שכר	attr	3.25107245923728
מעשה טרור	attr	3.24750010932436
שנה שלטון	attr	3.23368863926653
"יו""ר פרלמנט"	attr	3.22650496817677
דרך ביטוי	attr	3.19968028312242
שנה מלחמה	attr	3.17991729829807
שנה מס	attr	3.17991729829807
מזכיר מפלגה	attr	3.16585204861164
נציג משרד	attr	3.15372588775971
משרד משפט	attr	3.1356498030361
סדר דין	attr	3.12949443847854
תפקיד ראש	attr	3.12660625403762
בת עיר	attr	3.12492849875298
צו מועצה	attr	3.09868098384608
מזכיר איגוד	attr	3.08588907617877
תקופה מלחמה	attr	3.08163261685817
חבר סיעה	attr	3.06542734903282
צוות טלוויזיה	attr	3.06356210407175
ראש דירוג	attr	3.05604576305535
ראש מוסד	attr	3.05604576305535
ראש ענף	attr	3.05604576305535
מרכז קבלן	attr	3.05476929955218
משחק אור	attr	3.05476929955218
נציג תנועה	attr	3.05132919236722
הוצאה קליטה	attr	3.04454265086766
תנועה תיירות	attr	3.04454265086766
דבר מוות	attr	3.04058937254981
סגן נשיא	attr	3.04058937254981
"יו""ר מרכז"	attr	3.03276051171128
משרד חוץ	attr	3.02019756172825
ראש תנועה	attr	3.00460063919056
איש ספרות	attr	3.00351779619779
מנהל אגף	attr	3.00322097715561
בעל מסעדה	attr	2.99948897365717
בעל משקל	attr	2.99948897365717
בעל ניסיון	attr	2.99948897365717
כוח כיבוש	attr	2.98643008421786
לשכה תיירות	attr	2.97853349254519
ישיבה מועצה	attr	2.95462600576053
תחום תעסוקה	attr	2.94929497116853
ראשית שבוע	attr	2.94929497116615
איש מפלגה	attr	2.93431771782817
אזור מלחמה	attr	2.91385275688814
שיעור מס	attr	2.91385275688814
הפסד חוץ	attr	2.9086676422191
מנהל סוכנות	attr	2.88023704190619
הוצאה ספר	attr	2.86352455491827
יום זיכרון	attr	2.86039397653269
"עובד מד""א"	attr	2.85380370362798
אישור מועצה	attr	2.83175928230288
מרכז טבלה	attr	2.82436045470799
ישיבה ממשלה	attr	2.82362627508598
שיטה בחירות	attr	2.82223735767754
ביצוע החלטה	attr	2.81603578477905
"יו""ר חברה"	attr	2.79413945923618
ענף בנייה	attr	2.77891113784816
החלטה שופט	attr	2.77401005529999
מועצה נשיא	attr	2.75657887673535
ביצוע תוכנית	attr	2.74336281715827
אמצע יום	attr	2.73677251756225
תחילה יום	attr	2.73677251756225
תוצאה בחירות	attr	2.73672751184008
מתן רשות	attr	2.73401250774653
מערכת עיתון	attr	2.72009033596784
ועדה עבודה	attr	2.7153678424642
פה נתון	attr	2.71238774400696
ראשות ממשלה	attr	2.70111113265419
בן נוער	attr	2.70111113265331
יום מוות	attr	2.67984901374828
"יו""ר ארגון"	attr	2.67896168635634
מרכז ארץ	attr	2.67707078935954
הקמה מטה	attr	2.66186401927622
בניין ארץ	attr	2.62669500271877
מחלקה מדינה	attr	2.62659467193
הנהלה עירייה	attr	2.62191446882627
בעל מפעל	attr	2.60899142093832
סכום כסף	attr	2.60255643454389
פה תקן	attr	2.59098675375076
תחילה שבוע	attr	2.58834577336257
שופט בית	attr	2.58287099574142
יום בחירות	attr	2.57789081480585
יום שנה	attr	2.57789081480585
פה עד	attr	2.56954521365154
איש משמר	attr	2.56492564352544
נציג מפלגה	attr	2.55778888582193
ועדה ספורט	attr	2.54476437951816
פה תוכנית	attr	2.5390998237131
יד ביטוי	attr	2.53133899598428
מערכת בריאות	attr	2.52301036774081
שר חקלאות	attr	2.50907181542205
ענף תיירות	attr	2.50603318534338
מערכת ביטחון	attr	2.49341089084552
שעה יום	attr	2.48505989053471
ראש מטה	attr	2.46824512414035
בעל שיעור	attr	2.46657908527221
רמה מחיר	attr	2.43693042332467
ביצוע פעולה	attr	2.42844177745008
משרד תחבורה	attr	2.42464922118398
מחיר דיור	attr	2.4128241082032
שר עבודה	attr	2.39494517515752
ראש קהילה	attr	2.37189977968058
בית אוכל	attr	2.36848018389948
איש צבא	attr	2.36457121978731
בעל זכות	attr	2.34535235177016
פה כתב	attr	2.34202448310988
קרן ביטוח	attr	2.33786675317468
ועדה חקירה	attr	2.33228596936005
מזכיר מועצה	attr	2.33228596935965
מסע בחירות	attr	2.30386358671451
תקציב משרד	attr	2.29720094861922
עזרה מדינה	attr	2.29713412175218
איש תקשורת	attr	2.28026790275617
ראש מפלגה	attr	2.27248062786741
משרד חקלאות	attr	2.25423783242774
הנהלה פועל	attr	2.23272498427318
ראש ועד	attr	2.23069970404134
ראש ממשל	attr	2.23069970404134
שכר עובד	attr	2.22268623185688
איש פשע	attr	2.20393139608011
שר תיירות	attr	2.20062540402557
דבר איש	attr	2.19278056269046
דבר שר	attr	2.19278056269046
תנאי עבודה	attr	2.16863685233632
ראש איגוד	attr	2.15902288703001
שר אנרגיה	attr	2.14140123084226
איש כוח	attr	2.12316632074051
ראש לשכה	attr	2.11068220519229
ראש רשות	attr	2.10647883812042
"יו""ר מטה"	attr	2.0702115558691
דובר משטרה	attr	2.05922384881118
תחנה משטרה	attr	2.05922384881118
מרכז עיר	attr	2.04085574745962
פה הסכם	attr	2.01932301943153
הצעה משרד	attr	2.00208014370538
משרד חינוך	attr	1.99450375351043
יום עבודה	attr	1.9780912253685
פעולה משטרה	attr	1.93634861269596
איש משרד	attr	1.92990023934487
מרכז קליטה	attr	1.89988124033546
שירות בית	attr	1.89361553858423
יד משרד	attr	1.88384924680508
"יו""ר איגוד"	attr	1.86265093956825
משרד עבודה	attr	1.85789164452102
כוח משטרה	attr	1.85072049047789
מנהל קרן	attr	1.85053955194305
ראש מועצה	attr	1.83224452044422
"יו""ר רשות"	attr	1.82703244596896
עובד משרד	attr	1.81497045745657
מועצה פועל	attr	1.80938664928089
הנהלה מועצה	attr	1.80414960750037
מחיר גז	attr	1.78789545425916
החלטה מועצה	attr	1.77277769083864
סוג בית	attr	1.77212718159406
מערכת בית	attr	1.75534788026845
בית מהנדס	attr	1.74552469112831
עבודה משטרה	attr	1.73694943771094
מרכז פועל	attr	1.70186848935029
משרד ביטחון	attr	1.66009296777979
יד טלוויזיה	attr	1.65622630214761
הקמה ממשלה	attr	1.59029319980824
עובד חברה	attr	1.55022858895607
איש עולם	attr	1.4912077628648
יד איש	attr	1.4318100129259
יד שר	attr	1.4318100129259
משרד ממשלה	attr	1.42245368559001
אזור בית	attr	1.42045959065122
קרן בית	attr	1.42045959065122
חברה עובד	attr	1.39919807583551
כוח מועצה	attr	1.34192242359714
החלטה בית	attr	1.29330674813502
משרד פנים	attr	1.27034141753949
ראש מדינה	attr	1.26045809172703
עובד בית	attr	1.2113565445301
ראש קרן	attr	1.13336812200251
יד מועצה	attr	0.943704983379697
משרד ראש	attr	0.901873297787043
מנהל בית	attr	0.8085104256877
ראש משרד	attr	0.710502766774985
איש משטרה	attr	0.695831602561514
